year,month,count
1970,4,2
1970,5,4
1970,6,3
1970,7,3
1970,8,2
1970,9,4
1970,10,3
1970,11,6
1971,3,1
1971,4,1
1971,6,4
1971,7,3
1971,8,4
1971,9,1
1971,10,5
1971,11,2
1972,1,1
1972,2,1
1972,3,1
1972,5,2
1972,6,1
1972,7,5
1972,8,6
1972,9,4
1972,10,5
1972,11,4
1973,1,1
1973,4,4
1973,5,3
1973,6,4
1973,7,3
1973,8,6
1973,9,3
1973,10,3
1973,11,1
1973,12,1
1974,3,1
1974,4,5
1974,5,1
1974,6,4
1974,7,6
1974,8,4
1974,9,7
1974,10,2
1974,11,4
1974,12,2
1975,1,1
1975,4,2
1975,5,1
1975,6,4
1975,7,11
1975,8,5
1975,9,6
1975,10,11
1975,11,3
1975,12,2
1976,1,3
1976,5,1
1976,6,5
1976,7,5
1976,8,7
1976,9,7
1976,10,5
1976,11,3
1976,12,2
1977,1,3
1977,2,1
1977,3,2
1977,4,1
1977,5,6
1977,6,3
1977,7,13
1977,8,10
1977,9,8
1977,10,8
1977,11,4
1977,12,5
1978,1,2
1978,2,3
1978,4,6
1978,5,2
1978,6,10
1978,7,13
1978,8,15
1978,9,7
1978,10,10
1978,11,5
1978,12,5
1979,2,1
1979,4,1
1979,5,2
1979,6,5
1979,7,6
1979,8,9
1979,9,4
1979,10,11
1979,11,3
1979,12,3
1980,1,3
1980,2,3
1980,4,6
1980,5,4
1980,6,11
1980,7,12
1980,8,8
1980,9,7
1980,10,8
1980,11,7
1980,12,2
1981,1,2
1981,2,4
1981,4,2
1981,5,2
1981,6,4
1981,7,6
1981,8,9
1981,9,4
1981,10,4
1981,11,4
1981,12,1
1982,1,5
1982,2,1
1982,3,1
1982,4,2
1982,5,1
1982,6,9
1982,7,5
1982,8,4
1982,9,3
1982,10,9
1982,11,6
1983,1,2
1983,4,1
1983,5,4
1983,6,1
1983,7,9
1983,8,6
1983,9,5
1983,10,9
1983,11,4
1983,12,2
1984,1,4
1984,2,1
1984,4,2
1984,5,1
1984,6,2
1984,7,7
1984,8,8
1984,9,2
1984,10,7
1984,11,1
1985,1,1
1985,2,1
1985,4,1
1985,5,4
1985,6,4
1985,7,6
1985,8,5
1985,9,3
1985,10,3
1985,11,2
1985,12,1
1986,1,3
1986,4,1
1986,5,3
1986,6,7
1986,7,10
1986,8,6
1986,9,6
1986,10,5
1986,11,4
1986,12,1
1987,3,4
1987,5,2
1987,6,2
1987,7,9
1987,8,2
1987,9,4
1987,10,8
1987,11,4
1988,1,1
1988,3,1
1988,5,1
1988,6,3
1988,7,2
1988,8,5
1988,9,5
1988,10,6
1988,11,2
1988,12,4
1989,1,1
1989,2,1
1989,4,3
1989,5,2
1989,6,2
1989,7,3
1989,8,2
1989,9,2
1989,10,6
1989,11,7
1989,12,1
1990,4,1
1990,5,5
1990,6,5
1990,7,5
1990,8,6
1990,9,4
1990,10,8
1990,11,2
1990,12,1
1991,1,2
1991,2,1
1991,3,2
1991,4,3
1991,5,1
1991,6,5
1991,7,8
1991,8,4
1991,9,3
1991,10,7
1991,11,3
1991,12,1
1992,1,3
1992,2,1
1992,3,1
1992,4,1
1992,5,1
1992,6,2
1992,7,3
1992,8,6
1992,9,3
1992,10,3
1992,11,2
1992,12,3
1993,1,1
1993,2,2
1993,3,2
1993,4,4
1993,5,2
1993,6,4
1993,7,5
1993,8,4
1993,9,8
1993,10,5
1993,11,4
1993,12,1
1994,2,3
1994,3,3
1994,4,4
1994,5,4
1994,6,5
1994,7,8
1994,8,5
1994,9,9
1994,10,10
1994,11,3
1994,12,2
1995,1,2
1995,2,2
1995,3,4
1995,4,1
1995,5,4
1995,6,5
1995,7,7
1995,8,4
1995,9,3
1995,10,4
1995,11,5
1995,12,3
1996,1,2
1996,2,2
1996,4,5
1996,5,6
1996,6,1
1996,7,3
1996,8,6
1996,9,3
1996,10,11
1996,11,5
1996,12,5
1997,1,3
1997,3,2
1997,4,2
1997,5,5
1997,6,4
1997,7,14
1997,8,7
1997,9,6
1997,10,12
1997,11,17
1997,12,3
1998,1,5
1998,2,2
1998,3,2
1998,4,3
1998,5,8
1998,6,3
1998,7,7
1998,8,11
1998,9,13
1998,10,10
1998,11,12
1998,12,1
1999,1,3
1999,2,3
1999,3,4
1999,4,6
1999,5,7
1999,6,5
1999,7,5
1999,8,6
1999,9,5
1999,10,7
1999,11,8
1999,12,3
2000,1,6
2000,2,7
2000,3,5
2000,4,8
2000,5,9
2000,6,15
2000,7,25
2000,8,14
2000,9,15
2000,10,24
2000,11,6
2000,12,6
2001,1,11
2001,2,3
2001,3,13
2001,4,8
2001,5,9
2001,6,13
2001,7,11
2001,8,16
2001,9,22
2001,10,14
2001,11,7
2001,12,2
2002,1,1
2002,2,3
2002,3,1
2002,4,5
2002,5,13
2002,6,8
2002,7,13
2002,8,17
2002,9,13
2002,10,13
2002,11,9
2002,12,6
2003,1,3
2003,2,5
2003,3,4
2003,4,13
2003,5,6
2003,6,11
2003,7,12
2003,8,12
2003,9,14
2003,10,26
2003,11,21
2003,12,22
2004,1,14
2004,2,17
2004,3,9
2004,4,16
2004,5,14
2004,6,26
2004,7,20
2004,8,24
2004,9,20
2004,10,32
2004,11,27
2004,12,22
2005,1,28
2005,2,24
2005,3,9
2005,4,18
2005,5,11
2005,6,13
2005,7,22
2005,8,17
2005,9,17
2005,10,22
2005,11,12
2005,12,17
2006,1,7
2006,2,4
2006,3,11
2006,4,8
2006,5,7
2006,6,15
2006,7,34
2006,8,17
2006,9,11
2006,10,25
2006,11,26
2006,12,7
2007,1,14
2007,2,8
2007,3,9
2007,4,8
2007,5,9
2007,6,11
2007,7,14
2007,8,21
2007,9,16
2007,10,12
2007,11,14
2007,12,5
2008,1,14
2008,2,3
2008,3,6
2008,4,8
2008,5,10
2008,6,12
2008,7,13
2008,8,19
2008,9,17
2008,10,17
2008,11,10
2008,12,7
2009,1,3
2009,2,9
2009,3,8
2009,4,2
2009,5,9
2009,6,13
2009,7,18
2009,8,12
2009,9,13
2009,10,14
2009,11,8
2009,12,6
2010,1,5
2010,2,3
2010,3,6
2010,4,5
2010,5,6
2010,6,9
2010,7,8
2010,8,11
2010,9,9
2010,10,15
2010,11,11
2010,12,4
2011,1,6
2011,2,8
2011,3,3
2011,4,7
2011,5,8
2011,6,10
2011,7,15
2011,8,14
2011,9,12
2011,10,9
2011,11,15
2011,12,7
2012,1,11
2012,2,3
2012,3,10
2012,4,4
2012,5,14
2012,6,13
2012,7,7
2012,8,9
2012,9,15
2012,10,15
2012,11,17
2012,12,14
2013,1,10
2013,2,8
2013,3,11
2013,4,10
2013,5,8
2013,6,12
2013,7,6
2013,8,8
2013,9,7
2013,10,8
2013,11,11
2013,12,7
2014,1,5
2014,2,4
2014,3,9
2014,4,4
2014,5,11
2014,6,7
2014,7,9
2014,8,4
2014,9,11
2014,10,10
2014,11,7
2014,12,7
2015,1,8
2015,2,2
2015,4,4
2015,5,7
2015,6,6
2015,7,2
2015,8,7
2015,9,7
2015,10,10
2015,11,7
2015,12,4
2016,1,7
2016,2,2
2016,3,4
2016,4,3
2016,5,4
2016,6,2
2016,7,6
2016,8,5
2016,9,2
2016,10,3
2016,11,2
2016,12,3
2017,1,9
2017,2,3
2017,3,1
2017,5,1
2017,6,2
2017,9,2
